text,label,dialect,source,arabic_ratio
لا اعترف بدستور مسلوق على عجل خوفا من حكم المحكمة ببطلان اللجنة التى كتبته0لا اعترف برئيس يعطل القانون رئيسكم ديكتاتور ودستوركم باطل,1,msa,arsarcasm_train,1.0
البنات قبل اكثر ناس يطبون بالمغربيه و يقولون عنها كلام وصخ و انها تسوي سحور، الحين مراكض مثل ال على مغني مغربي القدر,1,magreb,arsarcasm_train,1.0
وجودك لطيف وغيابك ما يضر.,0,levant,isemeval_ar_test_A,1.0
يا غنوة مبتكملش يا دمع يا محبوس ليه كل ما أحلم حلم بقى يتقلبلى كابوس محمد محسن,0,egypt,isemeval_ar_train,1.0
ميزانية الفيلم ده ماتعديش التسعه جنيه ونص ويقولك ان السينما عندنا قويه ومصروف عليها,1,egypt,isemeval_ar_train,1.0
وكأن أحدهم استخدم حياتي بطريقة سيئة من قبلي، فأتيت أنا لأتلقّى ردّات الأفعال,0,msa,arsarcasm_test,1.0
فيه ناس ودك تقول لهم حاول تحترم ذكائي لما تجذب,1,egypt,arsarcasm_train,1.0
زوارق حربية تتبع للحرس الثوري الإيراني ، تقترب من حاملة الطائرات الأمريكية نيميتيز، في مياه الخليج العربي 👀https://t.co/Gajw2WuYtO,0,msa,arsarcasm_test,0.839622641509434
"""@NawalElZoghbi - حوآر آلنجمةة آلذهبيةة #نوآل_آلزغبي مع سلطآن آبو طير على صفحآت جريدةة آلوطن : تصرح آلآن.. آصبحت نآ… https://t.co/ZWFf1twuwK""",0,msa,arsarcasm_train,0.7169811320754716
وعلاه تفضل تشرحلي بلي الخيزو يتطبخ. شكراً على الوصفة. 👏🥕,1,algerian,training_generated,1.0
طب إيه المشكلة في أشغال طريق فاضي؟ عشان مين يعرف يتحرك بالضبط إذا الناس روحت؟,0,egypt,arsarcasm_train,1.0
﴿فَإِنَّهُ كَانَ لِلْأَوَّابِينَ غَفُورًا﴾,0,msa,isemeval_ar_test_A,1.0
حملة '10 ملايين وجبة' تحصد 6 جوائز من 'كريستا العالمية' و 5 جوائز من 'شورتي للنفع الاجتماعي'#الامارات#الإمارات_العربية_المتحدة#الإمارت,0,msa,arsarcasm_test,1.0
اللهم امطر على قبور موتانا من سحائب رحمتك ، اللهم كما سقيت الارض بمطرك اسقِ قبورهم بعفوك واسكنهم في جنتك يارب العالمين.,0,msa,arsarcasm_test,1.0
"حديقة الحيوان, القفص فاضي",1,egyptian,training_generated,1.0
ياشين الحلو لا درا انه حلو صدق ، يدري بس مب يقعد يبثرنا 😭 حلو اوك بس ماصرت اشوف الحلاوه من زود البثاره,0,levant,arsarcasm_train,1.0
تعويره الوش مفيهاش معلش,1,egypt,isemeval_ar_train,1.0
مترتبطوش إلا ف الحلال لان والله ربنا استحاله يبارك ف اي حاجه غير لو كانت ف الحلال حرفياً وحافظو ع قلبكم و مشاعركم وكل ذره حب جواكم للشخص ال ربنا هيجعله من نصيبكم لان لو فضلت تضيع مشاعرك ع كل شخص شويه عقبال ما توصل للشخص اللي من نصيبك هتظلمه ومش هتلاقي حاجه تديهاله.,0,egypt,arsarcasm_train,1.0
#هل_تعلم أن #حلب قادت مدن الشام ضدالدولة العبيدية الرافضية اليهودية والتي جردت الجيوش لإحتلال الشام خلال أكثر من نصف قرن#ستبقى_حلب,0,levant,ar_sarcasm_hf_train,1.0
"حوش الدار, الصرف طافح",1,algerian,training_generated,1.0
"""أرمـــــلة سورية شابه ب الرياض تـــــــبحث عن زوج وتـــــقبل التعدد https://t.co/5Uhl6SJOid""",0,msa,arsarcasm_train,0.7837837837837838
احمر اخضر اصفر مفيش غير كده نفسي تلبس حاجه غامقه,0,egypt,isemeval_ar_train,1.0
المرصد المعارض: #الجيش_السوري يتقدم في القسم الجنوبي من أحياء #حلب الشرقية ويسيطر على منطقة المعصرانية وعلى الأطراف الشرقية من حي باب النيرب,0,levant,ar_sarcasm_hf_train,1.0
أزف الوقت لإنهاء الاستقطاب البائس الذي نعيشه بأسلوب عقلاني، وأن نتحلى بروح التسامح، لنبدأ في البناء بسواعد كل مصري ومصرية,0,msa,arsarcasm_train,1.0
اللهم مافي القلب 🙏🏻 🤍,0,msa,isemeval_ar_test_A,1.0
"""شاهد.. طفلة سورية مغطاة بالدماء تصرخ بحثًا عن والدها بعد قصف منزلها #مصر https://t.co/tDW0hAAbWk""",0,egypt,arsarcasm_train,0.7702702702702703
السعودية تعترض صاروخين للحوثيين وترسل تعزيزات: أعلنت قوات التحالف العربي اعتراضها صاروخي... https://t.co/2Ccgjn5oXb #عاجل_الصحف,0,levant,ar_sarcasm_hf_train,0.8415841584158416
"""#فيديو|| الطفلة بانا العابد تصل إدلب بعد إجلائها من #حلب الشرقية https://t.co/Vyu4nAB5v4""",0,msa,arsarcasm_train,0.7692307692307693
هدخل الامتحان بأيموشن وش استغراب ع استهبال #عادل_امام,1,msa,ar_sarcasm_hf_train,1.0
"#غوتشي ""فلورا"" النسائيمع نغمات عطرية أكثر عمقاً وجاذبيةاحصلي عليه من #نقطة_الأناقة الآن في #أملج https://t.co/bM0GjfImCN",0,levant,ar_sarcasm_hf_train,0.8191489361702128
"""العهر الدولي فاق عهر روسياعندما تشترط موسكو موافقة دمشق على دخول المراقبين الدوليين فهو عهر موصوف ... لكن العهر... https://t.co/A7NWDoHblh""",1,levant,arsarcasm_train,0.8411214953271028
"""زيت الكثافهعلاجللصلعالقشرهتساقط الشعريقوي الجذوريعطي لمعانبفترةوجيزه🌻الطلب👇وتس٠٥٥٨٩٤٥٨٢٢#الامارات_العراق… https://t.co/EiXJcwHx7V""",0,msa,arsarcasm_train,0.8495575221238938
"""ويندوز 7+8+8.1+10 نسخة فى اسطوانة واحده بجميع اللغات ومجموعة النسخ هم 400 نسخة فى اسطوانة واحده بصغية ايزو… https://t.co/R7ietPrMIf""",0,msa,arsarcasm_train,0.8172043010752689
حتى اللى حكتله عن اللى سابوك و قالك ان معاك مش هسيبك سابك هو كمان #مبقتش_تفرق,0,egypt,arsarcasm_train,1.0
"""تظاهرات البوسنة ""سراييفو"" نصرة لاهلنا في #حلبوتنديدا بمجازر روسيا وبشارإنا لله وإنا إليه راجعون#ستبقى_حلب... https://t.co/zeHcYWLbhU""",0,levant,arsarcasm_train,0.8285714285714286
تنمية محور قناة السويس يعد مشروعا قوميا #السادة_المحترمون,0,msa,arsarcasm_train,1.0
وصولنا الآن #ملكة_المسرح #ميريام_فارس الى #دبي ومتوجهين فورا الى الحفل على نافورة دبي مول لإحياء… https://t.co/dvIlHY4ewu,0,levant,ar_sarcasm_hf_train,0.8191489361702128
"""RT @mustafakamilm: يتفنون في الكفر..وصول النبي نوح (حاشاه) إلى #كربلاء للتعزية بمصاب #الحسين بمناسبة #عاشوراء#العراق #الحشد_الشعبي #الس…""",0,msa,arsarcasm_train,0.8584905660377359
رجعت كتبت اسمي,0,egypt,isemeval_ar_test_A,1.0
خُلقت مبرءاً من كل عيبٍ ،، كأنك قد خُلقت كما تشاء #سيدنا_النبي,0,msa,arsarcasm_train,1.0
"""@malak_alhusaini ابي ايفون امنيه من امنياتي امسك جوال حلو""",0,gulf,arsarcasm_train,0.7021276595744681
"الشّغلات الّلي صارت معك ومفكّرها من أسوء الاشياء الي صارت بحياتك رح تكتشف بالنّهاية انها كانت نجاة من شغلات أكتر سوء كانت رح تصيرلك ""اختيارات ربنا عطول مُبهرة لالنا 🤍🌿"".",0,gulf,arsarcasm_train,1.0
الأمن الغذائي بخير، رغيف الخبز زاد سعره 50%,1,levant,training_generated,1.0
الزعيم العربي حتئ وان أدت تصرفاته إلئ هلاك نصف الشعب وهجرة النصف الآخر يبقئ هوه حامي حمى آلامه,1,msa,arsarcasm_train,1.0
"""وبواب بواب شي غرب شي صحاب شي مسكر وناطر تا يرجعو الغياب#فيروز ❤️❤️https://t.co/80Gs3H91Hf""",1,levant,arsarcasm_train,0.7903225806451613
من النهارده هتبتدي كل الوساخات اللي كان نظام مبارك بيرددها عن هيكل تتردد على ألسنة الإخوان وأنصارهم للإنتقام من كلامه عن فشل مرسي وجماعته,1,egypt,arsarcasm_train,1.0
"مدرسة الجيل الجديد, التلاميذ يدرسون على الأرض",1,egyptian,training_generated,1.0
"""اشتباكات بين #الجيش_السوري والمسلحين عند محور كباني في ريف #اللاذقية الشمالي وسط قصف مدفعي وصاروخي يستهدف نقاط انتشار المسلحين في المنطقة""",0,msa,arsarcasm_train,1.0
إن إنعدام النوم لا يعني شيئاً سوى التساؤل ، فلو أن المرء حصل على إجابة لنام,0,msa,arsarcasm_test,1.0
الشيخ معاذ الخطيب “يبق البحصة ” على فيسبوك :شيطنتم الاسلام وخربتم سورية كأدوات لدول اقليمية https://t.co/GKJ3qzrfBo,0,levant,ar_sarcasm_hf_train,0.8131868131868132
#لو_اني_مو_سعودية لما كُنت حبيسة دورة الذكر، ألد لخدمة ذكر و طاعة ذكر و إنجاب ذكر و تربية ذكر من ثم أعود مرة أخرى لخدمة ذكر الحياة,1,msa,arsarcasm_test,1.0
"""ريكي مارتن وخطيبه يثيران ضجة من جديده .. وهذه تفاصيل خطوبتهما! https://t.co/6E8CZj1q04""",0,msa,arsarcasm_train,0.7903225806451613
"""@AAlqirbi جزيك الله كويس حزبك في مهب الريح طلع حزب ولا يسوي ريال وين الرواتب""",0,gulf,arsarcasm_train,0.8688524590163934
"RT @3boosh_almlkiah: #الاهلي_برشلونهميسي في تصريح للاكازيتا دي سبورت: من المهيب مواجهة عقيل بالغيث…اتمنى ان لا يكون في احسن مستوياته…ا…""",0,msa,arsarcasm_train,0.8598130841121495
@UNRadioArabic هل هناك تحقيق او تقصي او لجنة دولية او منظمات اممية ترصد وتثبت ذلك قطعآ لا اذا تبآ لكم سوريا شعبها قتل وطرد وانتم قلقون,0,levant,ar_sarcasm_hf_train,0.8796296296296297
"موقف الأقاليم, السواقين يتشاجروا",1,egyptian,training_generated,1.0
"""قصف مستشفى أطفال #حلب من قِبل عصابة #بشار #روسيا واثناء تواجد الجزيرة يؤكد أن #الأمم_المتحدة مجرمة تدعم #الإرهاب https://t.co/yZBhlFEgCw""",0,egypt,arsarcasm_train,0.8317757009345794
أنا لما بكون متضايق وعايز أضحك بجيب قناه هلا وقناه الحلبة الحلبة وأسمع المعلقين بتوع المصارعة !,1,msa,arsarcasm_test,1.0
"البنك المركزي, الفايدة على القروض 20%",1,msa,training_generated,1.0
ياربي من زود ان ماعندي حياة واشوف الكل يسوي ثريد عن نهاية السنة واشياءهم اللي يحبون صرت مخيرة بين ثريد احسن اختباراتي او ثريد بين اسوأ المواضيع اللي اثارت قلقي وسودت عيشتي,0,gulf,arsarcasm_test,1.0
مليون انسان سوري يحاصرهم #الأسد .. #الأمم_المتحدة ستبدأ غداً عمليات إيصال المساعدات جوا إلى المحتاجين في سوريا,0,levant,ar_sarcasm_hf_train,1.0
خاف من سرقة منزله فباع كل أثاثه هههههههههههههههههههههههههههههههههههههه,1,msa,isemeval_ar_train,1.0
"""@3pymbmOp8cFXzKn امريكا تحارب مع جيش #العراق وروسيا تحارب مع جيش #سوريا هل يحاربون عملاءاسرائيل لتثبيت حكم اعداء إسرائيل؟ #مصر #اليمن #لبنان""",1,msa,arsarcasm_train,0.8839285714285714
برشلونة يتلقى ضربة موجعة من أسبوع الفيفا - يوروسبورت عربية https://t.co/53C9seXnVH #برشلونة,0,levant,ar_sarcasm_hf_train,0.7857142857142857
الحروب الجديدة روسيا وامريكا بيحاربوا بعض بس مش علي ارض امريكا ولا علي ارض روسيا ... لا دا في ارض محايدة (( سوريا )) مباراة كرة قدم,1,msa,arsarcasm_test,1.0
"المحطة البرية الجديدة, الحافلات تطلع من غير تكييف",1,algerian,training_generated,1.0
أنا ضد من يحاول الكذب في السياسة أو من يعتبرها فن الكذب و ليس فقط من جانب أخلاقي بل لأن هذا أثبت فشله لذلك أنا,0,msa,arsarcasm_train,1.0
لاتترك أحداً في منتصف الطريق وتخذله ؛ فربما لم يكن طريقه في الأصل لكنه لأجلك سار به معك !.,0,msa,isemeval_ar_test_A,1.0
البرلمان العربي يطالب المجتمع الدولي برفض تصريحات #إيران العدوانيةhttps://t.co/D7Gs0veIBP#اطلقوا_سراح_المعتقلين_في_اليمن#الغد_المشرق,0,levant,ar_sarcasm_hf_train,0.8532110091743119
تدعي القلوب بما تشتهي فيستجيب الله بما هو خير لها,0,msa,arsarcasm_test,1.0
مافيش مقارنة في السعر بس معلوماتي إن نسخة الهلال محذوف منها أجزاء أرجو إنك تتأكد من دهطبعا أسعار الهلال أرخص لأنها دار حكومية,0,egypt,isemeval_ar_train,1.0
سي بي سي:#إبراهيم_محلب يشارك باحتفالية تنزانيا اليوم بمناسبة العيد الخمسين للوحدةنيابة عن الرئيس #عدلي_منصور #,0,msa,arsarcasm_train,1.0
"ترامب شخصية لا تصلُح لرئاسة دولةالرجل لايملك كاريزما"" الرؤساءاما هيلاري كلنتون واضح انه (بنت رجال ) وعندها نز… https://t.co/mvCjakWd15""",1,msa,arsarcasm_train,0.8476190476190476
"محطة وقود, البنزين مغشوش",1,egyptian,training_generated,1.0
اللهمّ إنّك تعلم أن هذا القلب لا يريد من هذه الدّنيا إلا السّلام، فسخّر له كل سُبل السّلام وأمطرها عليهNdQmD,0,msa,arsarcasm_test,0.9438202247191011
"""RT @IranObs_ar: #المرصد_الايراني#تقارير | صور مريم رجوي في إيران تثير غضب السلطات الحكومية""ترجمة خاصة""https://t.co/fPqSHRZJhn""",0,msa,arsarcasm_train,0.7040816326530612
كابوس متى ينتهى,0,msa,arsarcasm_train,1.0
"#90دقيقة | معتز بالله عبدالفتاح""المناظرة الاخيرة فى صالح #هيلاري_كلنتون... https://t.co/vRZSD0ttys""",0,msa,arsarcasm_train,0.7671232876712328
